DFS ID,Name,Pos,Team,Opp,Status,Salary,Actual,SS Proj,Live Proj,My Proj,Value,My Own,Adj Own,Min Exp,Max Exp,Saber Team,Saber Total,dk_points,dk_25_percentile,dk_50_percentile,dk_75_percentile,dk_85_percentile,dk_95_percentile,dk_99_percentile,fd_points,fd_25_percentile,fd_50_percentile,fd_75_percentile,fd_85_percentile,fd_95_percentile,fd_99_percentile,yahoo_points,yahoo_25_percentile,yahoo_50_percentile,yahoo_75_percentile,yahoo_85_percentile,yahoo_95_percentile,yahoo_99_percentile,ob_points,ob_25_percentile,ob_50_percentile,ob_75_percentile,ob_85_percentile,ob_95_percentile,ob_99_percentile,dk_std,fd_std,yahoo_std,ob_std,Ldr Pos,Score,Top 20,Top 10,Top 5,Win%,Make Cut %,Tee Time,Eagles,Birdies,Bogeys,Pars,Dbl Bogeys,Birdie Streaks,Bogey Free Rounds
43697404,Hideki Matsuyama,G,Golf,GOLF,,9000,0,75.99,,75.99,8.443333333333332,12.84,14.683712990607663,0,100,,,75.9904,38.5,82,98.5,108,126.5,145,81.0718,40.5,87.5,107.6,118.4,138.01,158.5,71.8185,34.9,77.75,96.1,105.3,121.3,141.7,,,,,,,,32.56,36.91,33.12,,,,0.3514,0.2102,0.1141,2.5%,0.7059,2026-07-30T12:43:00,0.592,16.3972,6.8764,36.6479,0.7738,0.6517,0.294
43697406,Jake Knapp,G,Golf,GOLF,,8800,0,73.71,,73.71,8.376136363636363,16.41,19.619912045676223,0,100,,,73.7075,36.5,79.5,96.5,107,126,147,78.4428,38.5,84.5,105.8,116.71,137.4,159.5,69.4755,33.1,75,94.3,104.1,121,143.9,,,,,,,,33.07,37.43,33.66,,,,0.3277,0.1994,0.1133,2.4%,0.6779,2026-07-30T13:05:00,0.5672,15.9357,6.9399,36.0771,0.7622,0.623,0.2847
43697408,Ryan Gerard,G,Golf,GOLF,,8600,0,72.72,,72.72,8.455813953488372,10.9,12.40547703858345,0,100,,,72.7206,35.5,79.5,97,106.5,124.5,143.5,77.329,37,84,106,116.9,136.4,155.4,68.4934,32.3,74.5,94.52,104.1,119.8,138.1,,,,,,,,33.33,37.85,33.93,,,,0.3445,0.198,0.1127,1.8%,0.6609,2026-07-30T08:06:00,0.563,15.716,6.9265,35.7216,0.7477,0.6301,0.2732
43697410,Akshay Bhatia,G,Golf,GOLF,,8400,0,71.55,,71.55,8.517857142857142,9.33,10.298049171901551,0,100,,,71.5462,36,78.5,94,103,121,141.5,75.9239,37.4,82.5,102.3,112.92,132.3,152.8,67.2856,32.8,73.4,91.3,100.71,116.6,135,,,,,,,,31.87,36.09,32.39,,,,0.2867,0.1567,0.0873,1.4%,0.6638,2026-07-30T07:55:00,0.5558,15.5523,6.9631,35.9322,0.7669,0.6006,0.2703
43697411,Nicolai Hojgaard,G,Golf,GOLF,,8300,0,71.36,,71.36,8.597590361445784,10.78,12.183132432436288,0,100,,,71.3645,35.5,77.5,94,104,123,143.51,75.7032,37,81.6,102.8,113.9,134.5,154.8,67.04,32.4,72.6,91.3,101.7,118,138.9,,,,,,,,32.52,36.85,33.06,,,,0.2961,0.1698,0.0943,1.9%,0.6567,2026-07-30T13:16:00,0.5474,15.5164,6.9788,35.7007,0.773,0.596,0.2572
43697409,Harris English,G,Golf,GOLF,,8500,0,70.84,,70.84,8.334117647058823,7.16,7.6484854923037675,0,100,,,70.8379,35.5,77.5,93.5,102.5,120,141,75.1765,36.7,81.85,101.9,112.4,131.7,154.5,66.566,31.8,72.7,90.7,100.7,116.31,138.1,,,,,,,,31.95,36.26,32.6,,,,0.2848,0.156,0.0824,1.3%,0.6548,2026-07-30T13:05:00,0.5345,15.4393,6.8892,35.7949,0.7852,0.592,0.2665
43697417,Keegan Bradley,G,Golf,GOLF,,7800,0,70.69,,70.69,9.062820512820513,13.31,15.377248057855008,0,100,,,70.6853,35.5,77.5,93,101.5,120.02,142.01,74.9089,37,81.4,101.1,111.21,131.8,154,66.4198,32.4,72.55,90.1,99.5,115.8,137.5,,,,,,,,31.75,36.02,32.3,,,,0.28,0.1473,0.079,1.4%,0.6591,2026-07-30T07:33:00,0.5437,15.4093,6.9988,35.8788,0.778,0.5827,0.2511
43697412,Michael Thorbjornsen,G,Golf,GOLF,,8200,0,70.49,,70.49,8.596341463414634,9.93,11.103510136388381,0,100,,,70.4942,35,76.5,94,103,121.5,143,74.7003,36.4,80.5,102.2,113.1,133.2,155,66.3239,31.8,72,91.3,101.1,117.5,139,,,,,,,,32.48,36.86,33.17,,,,0.2977,0.1672,0.0887,1.7%,0.6501,2026-07-30T12:21:00,0.5349,15.299,6.9372,35.7544,0.7635,0.5706,0.2634
43697416,Jacob Bridgeman,G,Golf,GOLF,,7900,0,70.18,,70.18,8.88354430379747,14.54,17.083301591043337,0,100,,,70.1833,35,77.5,93,102,119.5,143.5,74.4097,36.6,81.2,101.2,111.3,130.51,156.1,66.0162,31.9,72.4,90.4,99.5,115.41,140.4,,,,,,,,31.99,36.27,32.63,,,,0.2755,0.1474,0.0781,1.6%,0.648,2026-07-30T13:16:00,0.5349,15.2997,6.9496,35.6613,0.7596,0.574,0.2572
43697425,Corey Conners,G,Golf,GOLF,,7500,0,68.83,,68.83,9.177333333333333,16.41,19.72236830057832,0,100,,,68.8343,34,75.5,91.62,101.5,118.5,140,72.8434,35.4,78.7,100.12,110.9,129.5,152.4,64.6071,31,70.2,89.3,99,114.6,135.7,,,,,,,,31.88,36.22,32.61,,,,0.267,0.1405,0.0747,1.2%,0.6357,2026-07-30T12:54:00,0.5294,15.0035,6.9783,35.4832,0.7681,0.5537,0.2508
43697413,Rickie Fowler,G,Golf,GOLF,,8100,0,68.68,,68.68,8.479012345679012,6.79,7.220107605353299,0,100,,,68.6801,34.5,75.5,92,101,120,139,72.7169,35.5,78.9,100.1,110.9,130.9,150.9,64.3994,31.1,70.1,89.4,99.2,115.41,134.2,,,,,,,,31.97,36.28,32.64,,,,0.2645,0.1431,0.0766,1.3%,0.6279,2026-07-30T07:44:00,0.5265,14.9868,6.9256,35.2591,0.7756,0.5542,0.2473
43697419,Davis Thompson,G,Golf,GOLF,,7700,0,68.02,,68.02,8.833766233766234,11.09,12.605574342866174,0,100,,,68.0212,34,75,92,100.5,119,139,71.806,34.8,77.6,99.62,110.2,130.2,151.3,63.6617,30.6,69.25,88.8,98.7,114.5,134.8,,,,,,,,32.11,36.47,32.81,,,,0.266,0.1424,0.0749,1.3%,0.6226,2026-07-30T08:17:00,0.5192,14.8299,6.9893,35.1731,0.7817,0.5542,0.2421
43697433,Mac Meissner,G,Golf,GOLF,,7300,0,67.07,,67.07,9.18767123287671,12.29,14.188322779634438,0,100,,,67.0731,33.5,74,90.5,99.5,117,136,70.8353,34.5,76.5,98.7,108.7,127.8,148.3,62.7886,30.4,68.3,87.6,97.2,112.9,131.5,,,,,,,,31.55,35.83,32.22,,,,0.247,0.1262,0.064,1%,0.6164,2026-07-30T13:27:00,0.5015,14.7305,6.9972,35.0592,0.773,0.525,0.2259
43697422,Ryo Hisatsune,G,Golf,GOLF,,7600,0,66.58,,66.58,8.760526315789473,7.16,7.665129533891032,0,100,,,66.5842,33.5,73,90,98.5,116,135.5,70.1614,34.5,75.3,97.6,107.4,126.6,147.7,62.2225,30.5,67.3,86.5,96.1,112,131.8,,,,,,,,31.2,35.4,31.84,,,,0.2356,0.1236,0.0648,0.9%,0.6166,2026-07-30T12:32:00,0.4936,14.5882,7.0047,35.2056,0.7819,0.5254,0.2285
43697438,Jordan L. Smith,G,Golf,GOLF,,7200,0,66.07,,66.07,9.176388888888889,14.84,17.53955167548793,0,100,,,66.0704,33.5,72.5,90,99,116.5,137,69.6722,34,74.85,98,108.3,127.2,149,61.7027,29.7,67,87.43,96.4,112.6,131.3,,,,,,,,31.72,36,32.39,,,,0.2461,0.1266,0.0647,0.9%,0.5986,2026-07-30T12:32:00,0.4885,14.4996,6.9747,34.691,0.7694,0.5263,0.2218
