Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Status
G,Harry Hall (43746548),Harry Hall,43746548,G,7000,Wyndham Championship,Golf,53.1,
G,Lee Hodges (43746549),Lee Hodges,43746549,G,7000,Wyndham Championship,Golf,56.9,
G,Beau Hossler (43746550),Beau Hossler,43746550,G,7000,Wyndham Championship,Golf,62.2,
G,Mackenzie Hughes (43746551),Mackenzie Hughes,43746551,G,7000,Wyndham Championship,Golf,61.6,
G,Andrew Novak (43746552),Andrew Novak,43746552,G,6900,Wyndham Championship,Golf,53.3,
G,Matthew McCarty (43746553),Matthew McCarty,43746553,G,6900,Wyndham Championship,Golf,58.3,
G,Thorbjørn Olesen (43746554),Thorbjørn Olesen,43746554,G,6900,Wyndham Championship,Golf,52,
G,Steven Fisk (43746555),Steven Fisk,43746555,G,6900,Wyndham Championship,Golf,56.4,
G,Stephan Jaeger (43746556),Stephan Jaeger,43746556,G,6900,Wyndham Championship,Golf,62.1,
G,Taylor Moore (43746557),Taylor Moore,43746557,G,6900,Wyndham Championship,Golf,59.3,
G,Luke Clanton (43746558),Luke Clanton,43746558,G,6900,Wyndham Championship,Golf,46.4,
G,Sam Stevens (43746559),Sam Stevens,43746559,G,6900,Wyndham Championship,Golf,61.7,
G,Lucas Glover (43746560),Lucas Glover,43746560,G,6800,Wyndham Championship,Golf,50.6,
G,Seamus Power (43746561),Seamus Power,43746561,G,6800,Wyndham Championship,Golf,58.7,
G,Kris Ventura (43746562),Kris Ventura,43746562,G,6800,Wyndham Championship,Golf,52.1,
G,William Mouw (43746563),William Mouw,43746563,G,6800,Wyndham Championship,Golf,55.4,
G,Aldrich Potgieter (43746564),Aldrich Potgieter,43746564,G,6800,Wyndham Championship,Golf,55,
G,Matti Schmid (43746565),Matti Schmid,43746565,G,6800,Wyndham Championship,Golf,55.2,
G,Jesper Svensson (43746566),Jesper Svensson,43746566,G,6800,Wyndham Championship,Golf,57.1,
G,Adrien Dumont De Chassart (43746567),Adrien Dumont De Chassart,43746567,G,6800,Wyndham Championship,Golf,57,
G,Andrew Putnam (43746568),Andrew Putnam,43746568,G,6700,Wyndham Championship,Golf,58.7,
